DATE,PROJECT_ID,TITLE,BOROUGH,LEVEL_OF_REVIEW,AGENCY,CERTIFICATE_NUMBER,PUBLIC_PRIVATE,ACTION,PROJECT_TYPE
01/17/2018,16990,"Installation of a prototypical newsstand, 23 West Broadway, northeast corner of Barclay Street and West Broadway, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26446,Private,Calendared for Consent,Newsstand
01/17/2018,17762,"Rehabilitation of entrance and ADA improvements, Sunnyside Community Library, 43-06 Greenpoint Avenue, Queens",Queens,Preliminary and Final,DDC,26449,Public,Calendared for Consent,Building systems & Modifications
01/17/2018,18189,"Installation of Luminescence by Nobuho Nagasawa, The Peninsula, Hunter’s Point South Waterfront Park, 54th Avenue, Center Boulevard, 55th Avenue, and the East River, Long Island City, Queens",Queens,Final,EDC/DPR,26468,Public,Calendared for Consent,Artwork
01/17/2018,18595,"Construction of a recreation trail and adult fitness area and reconstruction of the picnic area, Glendale Entrance, Forest Park, Forest Park Drive, Myrtle Avenue, and Jackie Robinson Parkway, Queens",Queens,Preliminary,DPR,26456,Public,Calendared for Consent,Landscape architecture
01/17/2018,18598,"Construction of two picnic areas and adjacent site work, Prospect Park, East Drive at Parkside Avenue and Lincoln Road, Brooklyn",Brooklyn,Preliminary and Final,DPR/PPA,26463,Public,Calendared for Consent,Landscape architecture
01/17/2018,18603,"Installation of Convergence by Shawn Smith, Westchester Square Branch Library, 9 Westchester Square, Bronx",Bronx,Preliminary,DCLA%/DDC/NYPL,26447,Public,Calendared for Consent,Artwork
01/17/2018,19146,"Construction of a freight rail platform, Hunts Point Terminal Produce Market, 101 Food Center Drive, Bronx",Bronx,Final,EDC,26467,Private,Calendared for Consent,Architecture
01/17/2018,19148,"Conservation and relocation of the Washington Kill Von Kull Monument (1932), Faber Park, Richmond Terrace between Sharpe Avenue and Faber Street, Staten Island",Staten Island,Preliminary,DPR,26454,Public,Calendared for Consent,Artwork
01/17/2018,19150,"Construction of a broadcasting facility, United States Tennis Association's Billie Jean King National Tennis Center, Flushing Meadows Corona Park, Corona, Queens",Queens,Preliminary and Final,DPR/USTA,26465,Private,Calendared for Consent,Architecture
01/17/2018,19151,"Construction of a playground and reconstruction of athletic courts, Pulaski Park, Bruckner Boulevard and the Willis Avenue Bridge, Bronx",Bronx,Preliminary,DPR,26455,Public,Calendared for Consent,Landscape architecture
01/17/2018,19160,"Installation of a staircase and elevator, and reconstruction of an entrance plaza, including the installation of signage, High Line, West 17th Street, West 18th Street, 10th Avenue, and 11th Avenue, Manhattan",Manhattan,Final,DPR/FOH,26462,Public,Calendared for Consent,Building systems & Modifications
01/17/2018,19161,"Installation of benches and lightpoles and adjacent site work, Vale of Cashmere and Rose Garden, Prospect Park, Flatbush Avenue between Grand Army Plaza and the Prospect Park Zoo, Brooklyn",Brooklyn,Final,DPR/PPA,26464,Public,Calendared for Consent,Street furniture
01/17/2018,19162,"Installation of rooftop equipment, Anna M. Kross Center, Buildings 1, 2, 3, 4 & 5, 18-18 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,26452,Public,Calendared for Consent,Building systems & Modifications
01/17/2018,19163,"Installation of rooftop mechanical equipment and replacement of windows, Coney Island Library, 1901 Mermaid Avenue, Brooklyn",Brooklyn,Preliminary and Final,DDC,26448,Public,Calendared for Consent,Building systems & Modifications
01/17/2018,19164,"Installation of rooftop mechanical equipment, Bronx Terminal Market, 401 Food Center Drive, Bronx",Bronx,Preliminary and Final,EDC,26466,Private,Calendared for Consent,Building systems & Modifications
01/17/2018,19169,"Reconstruction of a berm and related site work, Wolfe's Pond Park, between Holton Avenue and Raritan Bay, Staten Island",Staten Island,Preliminary and Final,DPR,26459,Public,Calendared for Consent,Landscape architecture
01/17/2018,19170,"Reconstruction of a playground, McDonald Playground, McDonald Avenue, Avenue S, East 1st Street, and Avenue T, Brooklyn",Brooklyn,Preliminary,DPR,26457,Public,Calendared for Consent,Landscape architecture
01/17/2018,19171,"Reconstruction of a portion of Times Plaza, Flatbush Avenue, Atlantic Avenue, and 4th Avenue, Brooklyn",Brooklyn,Preliminary,DOT,26469,Public,Calendared for Public Hearing,Landscape architecture
01/17/2018,19172,"Reconstruction of Abraham Lincoln Playground, East 135th Street, between 5th Avenue and Madison Avenue, Manhattan",Manhattan,Final,DPR,26460,Public,Calendared for Consent,Landscape architecture
01/17/2018,19174,"Reconstruction of the open space and installation of rooftop equipment and security lights, Crossroads Juvenile Center Site, 17 Bristol Street, Brooklyn",Brooklyn,Preliminary and Final,DDC/ACS,26450,Public,Calendared for Consent,Building systems & Modifications
01/17/2018,19176,"Rehabilitation of Lost Battalion Hall, 93-29 Queens Boulevard, Rego Park, Queens",Queens,Preliminary,DPR,26458,Public,Calendared for Consent,Architecture
01/17/2018,19177,"Rehabilitation of the East 175th Street Bridge over Metro North Railroad, Bronx",Bronx,Preliminary and Final,DOT,26453,Public,Calendared for Consent,Bridge
01/17/2018,19179,"Restoration of landscape, including tree plantings, Shore Belt Parkway over Gerritsen Inlet, Brooklyn",Brooklyn,Final,DPR/DOT,26461,Public,Calendared for Consent,Landscape architecture
01/17/2018,19180,"Restoration of the roof, St. George Branch Library, 5 Central Avenue, Staten Island",Staten Island,Preliminary and Final,DDC/NYPL,26451,Public,Calendared for Consent,Building systems & Modifications
02/12/2018,16854,"Installation of a prototypical newsstand, 401 East 149th Street, northeast corner of 149th Street and 3rd Avenue, Bronx",Bronx,Preliminary and Final,DCA/DOT,26474,Private,Calendared for Consent,Newsstand
02/12/2018,17148,"Installation of a prototypical newsstand, 1335 6th Avenue, southwest corner of 6th Avenue and West 54th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26472,Private,Calendared for Consent,Newsstand
02/12/2018,17201,"Reconstruction of the roof, St. Albans Community Library, 191-05 Linden Boulevard, Jamaica, Queens",Queens,Preliminary and Final,DDC,26477,Public,Calendared for Consent,Building systems & Modifications
